code,name,lat,long,tambon,amphoe,province,provinceEng,basin,region,regionEng,station_type
LNSK,อบต.ลานสัก,15.4727632,99.53968,ลานสัก,ลานสัก,อุทัยธานี,Uthai Thani,แม่น้ำสะแกกรัง,ภาคเหนือ,North,R
PADT,ทต.ป่าแดด,19.49596,99.9952832,ป่าแดด,ป่าแดด,เชียงราย,Chiang Rai,แม่น้ำโขง,ภาคเหนือ,North,R
BNAN,อบต.บ้านกิ่ว,18.087,99.5041152,บ้านกิ่ว,แม่ทะ,ลำปาง,Lampang,แม่น้ำวัง,ภาคเหนือ,North,R
NMPR,ทต.เนินมะปราง,16.5707248,100.6493632,เนินมะปราง,เนินมะปราง,พิษณุโลก,Phitsanulok,แม่น้ำน่าน,ภาคเหนือ,North,R
STOR,อบต.สะตอ,12.5361008,102.4445632,สะตอ,เขาสมิง,ตราด,Trat,ชายฝั่งทะเลตะวันออก,ภาคกลาง,Central,R
CTKN,อบต.ป่าแดง,17.2621568,100.576288,ป่าแดง,ชาติตระการ,พิษณุโลก,Phitsanulok,แม่น้ำน่าน,ภาคเหนือ,North,R
SYTL,อบต.วังงิ้ว,16.0156544,100.7328256,วังงิ้ว,ดงเจริญ,พิจิตร,Phichit,แม่น้ำเจ้าพระยา,ภาคเหนือ,North,R
NSNO,อบต.หนองโสน,16.3965104,100.0552384,หนองโสน,สามง่าม,พิจิตร,Phichit,แม่น้ำยม,ภาคเหนือ,North,R
PTLE,ทต.โพทะเล,16.0937632,100.2600896,โพทะเล,โพทะเล,พิจิตร,Phichit,แม่น้ำยม,ภาคเหนือ,North,R
TPKO,ทต.ทับคล้อ,16.1696384,100.5660096,ทับคล้อ,ทับคล้อ,พิจิตร,Phichit,แม่น้ำน่าน,ภาคเหนือ,North,R
PANC,สุสานคริสเตียน,19.5614688,99.741088,เมืองพาน,พาน,เชียงราย,Chiang Rai,แม่น้ำโขง,ภาคเหนือ,North,R
FANG,อบต.เวียง,19.9410928,99.218112,เวียง,ฝาง,เชียงใหม่,Chiang Mai,แม่น้ำกก,ภาคเหนือ,North,R
SNSI,ทต.สันนาเม็ง,18.8380768,99.0569152,สันนาเม็ง,สันทราย,เชียงใหม่,Chiang Mai,แม่น้ำปิง,ภาคเหนือ,North,R
CPKC,ทต.ไชยปราการ,19.7422368,99.1454336,ปงตำ,ไชยปราการ,เชียงใหม่,Chiang Mai,แม่น้ำกก,ภาคเหนือ,North,R
TAPE,ทต.ช้างเผือก,18.81008,98.9699136,ช้างเผือก,เมืองเชียงใหม่,เชียงใหม่,Chiang Mai,แม่น้ำปิง,ภาคเหนือ,North,R
HTTM,อบต.ไม้รูด,11.9274512,102.7790656,ไม้รูด,คลองใหญ่,ตราด,Trat,ชายฝั่งทะเลตะวันออก,ภาคกลาง,Central,R
BBON,อบต.แจ้ซ้อน,18.8169248,99.500032,แจ้ซ้อน,เมืองปาน,ลำปาง,Lampang,แม่น้ำวัง,ภาคเหนือ,North,R
CHUN,ทต.ห้วยข้าวก่ำ,19.3501008,100.139488,ห้วยข้าวก่ำ,จุน,พะเยา,Phayao,แม่น้ำโขง,ภาคเหนือ,North,R
CATK,อบต.หนองหญ้า,13.9837856,99.45824,หนองหญ้า,เมืองกาญจนบุรี,กาญจนบุรี,Kanchanaburi,แม่น้ำแม่กลอง,ภาคกลาง,Central,R
HKTG,อบต.ศรีมงคล,14.0227312,99.1914752,ศรีมงคล,ไทรโยค,กาญจนบุรี,Kanchanaburi,แม่น้ำแม่กลอง,ภาคกลาง,Central,R
BOP1,อบต.บ่อพลอย,14.3044784,99.5088704,บ่อพลอย,บ่อพลอย,กาญจนบุรี,Kanchanaburi,แม่น้ำแม่กลอง,ภาคกลาง,Central,R
THNG,ทต.เวียงเทิง,19.687376,100.1899264,เวียง,เทิง,เชียงราย,Chiang Rai,แม่น้ำโขง,ภาคเหนือ,North,R
DDSO,อบต.ไล่โว่,15.187624,98.4771456,ไล่โว่,สังขละบุรี,กาญจนบุรี,Kanchanaburi,แม่น้ำแม่กลอง,ภาคกลาง,Central,R
CHTG,อบต.เจาทอง,15.9069184,101.4275264,เจาทอง,ภักดีชุมพล,ชัยภูมิ,Chaiyaphum,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,Northeast,R
NSRS,โรงปรับปรุงคุณภาพน้ำฯ ทน.นครสวรรค์,15.698576,100.1369024,ปากน้ำโพ,เมืองนครสวรรค์,นครสวรรค์,Nakhon Sawan,แม่น้ำเจ้าพระยา,ภาคเหนือ,North,R
CMSG,อบต.พิกุล,15.898448,100.307744,พิกุล,ชุมแสง,นครสวรรค์,Nakhon Sawan,แม่น้ำน่าน,ภาคเหนือ,North,R
KUBR,ทต.กุยบุรี,12.0700832,99.8673024,กุยบุรี,กุยบุรี,ประจวบคีรีขันธ์,Prachuap Khiri Khan,ชายฝั่งทะเลประจวบคีรีขันธ์,ภาคกลาง,Central,R
OMKI,อบต.อมก๋อย,17.7979136,98.341472,อมก๋อย,อมก๋อย,เชียงใหม่,Chiang Mai,แม่น้ำปิง,ภาคเหนือ,North,R
BSVT,ทต.ร่อนทอง,11.2633088,99.4381632,ร่อนทอง,บางสะพาน,ประจวบคีรีขันธ์,Prachuap Khiri Khan,ชายฝั่งทะเลประจวบคีรีขันธ์,ภาคกลาง,Central,R
DSKT,ทต.ดอยสะเก็ด,18.8647776,99.1322624,เชิงดอย,ดอยสะเก็ด,เชียงใหม่,Chiang Mai,แม่น้ำปิง,ภาคเหนือ,North,R
WGKN,ทต.หล่ายงาว,20.1057888,100.5004352,หล่ายงาว,เวียงแก่น,เชียงราย,Chiang Rai,แม่น้ำโขง,ภาคเหนือ,North,R
BLKO,ทต.ท่าพริกเนินทราย,12.2549032,102.558272,เนินทราย,เมืองตราด,ตราด,Trat,ชายฝั่งทะเลตะวันออก,ภาคกลาง,Central,R
RSK7,รร.วัดอู่ข้าว,14.1911296,100.7542272,คลองเจ็ด,คลองหลวง,ปทุมธานี,Pathum Thani,แม่น้ำเจ้าพระยา,ภาคกลาง,Central,R
BNGR,อบต.หนองไร่,13.0019104,101.3564416,หนองไร่,ปลวกแดง,ระยอง,Rayong,ชายฝั่งทะเลตะวันออก,ภาคกลาง,Central,R
TPTN,ทต.ทัพทัน,15.457664,99.8948096,ทัพทัน,ทัพทัน,อุทัยธานี,Uthai Thani,แม่น้ำสะแกกรัง,ภาคเหนือ,North,R
PPRM,อบต.พรหมพิราม,17.021656,100.192128,พรหมพิราม,พรหมพิราม,พิษณุโลก,Phitsanulok,แม่น้ำน่าน,ภาคเหนือ,North,R
NTAN,อบต.นาตาล,15.9017088,105.2787264,นาตาล,นาตาล,อุบลราชธานี,Ubon Ratchathani,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,Northeast,R
NKTI,ทต.นครไทย,17.1010128,100.829152,นครไทย,นครไทย,พิษณุโลก,Phitsanulok,แม่น้ำน่าน,ภาคเหนือ,North,R
KKWF,อบต.ปังเผล,14.953016,98.6183104,ปรังเผล,สังขละบุรี,กาญจนบุรี,Kanchanaburi,แม่น้ำแม่กลอง,ภาคกลาง,Central,R
WGTG,ที่ทำการผู้ใหญ่บ้าน หมู่ 13 ต.วังทอง,16.831776,100.4288704,วังทอง,วังทอง,พิษณุโลก,Phitsanulok,แม่น้ำน่าน,ภาคเหนือ,North,R
