code,name,lat,long,tambon,amphoe,province,basin,region,station_type
BPPS  ,อบต.บางตาหงาย,15.9371344,99.9916864,บางตาหงาย,บรรพตพิสัย,นครสวรรค์,แม่น้ำปิง,ภาคเหนือ,R
TTWY  ,ทม.วังน้ำเย็น,13.5010944,102.1802304,วังน้ำเย็น,วังน้ำเย็น,สระแก้ว,แม่น้ำปราจีนบุรี,ภาคกลาง,R
KOSB  ,รพสต.ท่าข้าม,13.6276544,102.5748416,ท่าข้าม,อรัญประเทศ,สระแก้ว,โตนเลสาป,ภาคกลาง,R
BDCP  ,อบต.ด่านชุมพล,12.4447144,102.6300672,ด่านชุมพล,บ่อไร่,ตราด,ชายฝั่งทะเลตะวันออก,ภาคกลาง,R
MEWG  ,อบต.บ้านกาด,18.6038928,98.7984704,บ้านกาด,แม่วาง,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,R
BDLH  ,ทต.ลานหอย,17.0085680,99.5829440,ลานหอย,บ้านด่านลานหอย,สุโขทัย,แม่น้ำยม,ภาคเหนือ,R
DIWO  ,ทต.เวียงพางคำ,20.4035376,99.8857536,เวียงพางคำ,แม่สาย,เชียงราย,แม่น้ำโขง,ภาคเหนือ,R
PPPG  ,อบต.ปลายโพงพาง,13.3849432,99.9269632,ปลายโพงพาง,อัมพวา,สมุทรสงคราม,แม่น้ำเพชรบุรี,ภาคกลาง,R
CHAM  ,การประปา ทม.ชะอำ,12.7863152,99.9601856,ชะอำ,ชะอำ,เพชรบุรี,แม่น้ำเพชรบุรี,ภาคกลาง,R
HSYO  ,ทต.ดงมะดะ,19.7471376,99.6835456,ดงมะดะ,แม่ลาว,เชียงราย,แม่น้ำกก,ภาคเหนือ,R
RCHM  ,อบต.ดอนยาง,13.0146712,99.9703424,ดอนยาง,เมืองเพชรบุรี,เพชรบุรี,แม่น้ำเพชรบุรี,ภาคกลาง,R
PDAM  ,ทต.ท่ายาง,12.9634048,99.8983872,ท่ายาง,ท่ายาง,เพชรบุรี,แม่น้ำเพชรบุรี,ภาคกลาง,R
HJRN1 ,อบต.หงษ์เจริญ,10.7797248,99.1910784,หงษ์เจริญ,ท่าแซะ,ชุมพร,ภาคใต้ฝั่งตะวันออก,ภาคใต้,R
BLAT  ,ทต.บ้านลาด,13.0495984,99.9161600,บ้านลาด,บ้านลาด,เพชรบุรี,แม่น้ำเพชรบุรี,ภาคกลาง,R
TGLM  ,อบต.ป่าหวาย,13.5798480,99.4331584,ป่าหวาย,สวนผึ้ง,ราชบุรี,แม่น้ำแม่กลอง,ภาคกลาง,R
KHCP  ,ทต.เขาขวาง,13.7149648,99.7724864,เตาปูน,โพธาราม,ราชบุรี,แม่น้ำแม่กลอง,ภาคกลาง,R
BBHN  ,อบต.บางหิน,9.5369560,98.5794880,บางหิน,กะเปอร์,ระนอง,ภาคใต้ฝั่งตะวันตก,ภาคใต้,R
KSKP  ,อบต.กำแพงแสน,14.0032640,99.9809280,กำแพงแสน,กำแพงแสน,นครปฐม,แม่น้ำท่าจีน,ภาคกลาง,R
RNGH  ,ทม.ระนอง,9.9603992,98.6378112,เขานิเวศน์,เมืองระนอง,ระนอง,ภาคใต้ฝั่งตะวันตก,ภาคใต้,R
MDTG  ,อบต.เขาล้าน,11.5220488,99.5975552,เขาล้าน,ทับสะแก,ประจวบคีรีขันธ์,ชายฝั่งทะเลประจวบคีรีขันธ์,ภาคกลาง,R
KAKG  ,อบต.ปากฉลุย,9.3005648,99.0260416,ปากฉลุย,ท่าฉาง,สุราษฎร์ธานี,ภาคใต้ฝั่งตะวันออก,ภาคใต้,R
BSMP  ,อบต.บึงสามพัน,15.7780576,101.0208832,บึงสามพัน,บึงสามพัน,เพชรบูรณ์,แม่น้ำป่าสัก,ภาคเหนือ,R
DNCM  ,อบต.ดอนชะเอม,13.9619856,99.8039296,ดอนชะเอม,ท่ามะกา,กาญจนบุรี,แม่น้ำท่าจีน,ภาคกลาง,R
KRMT  ,ทต.บ้านโตนด,16.8337104,99.8027200,โตนด,คีรีมาศ,สุโขทัย,แม่น้ำยม,ภาคเหนือ,R
DGSL  ,อบต.นาสวน,14.6114160,99.1257536,นาสวน,ศรีสวัสดิ์,กาญจนบุรี,แม่น้ำแม่กลอง,ภาคกลาง,R
POCG  ,ทต.เขาโจด,14.6623664,99.3422784,เขาโจด,ศรีสวัสดิ์,กาญจนบุรี,แม่น้ำแม่กลอง,ภาคกลาง,R
DKTI  ,อบต.แม่อิง,19.2249600,99.9936640,แม่อิง,ภูกามยาว,พะเยา,แม่น้ำโขง,ภาคเหนือ,R
LNR1  ,อบต.ท่ามะนาว,15.1993232,101.1638784,ท่ามะนาว,ชัยบาดาล,ลพบุรี,แม่น้ำป่าสัก,ภาคกลาง,R
SBT1  ,อบต.ชอนสารเดช,15.1849488,100.6813120,ชอนสารเดช,หนองม่วง,ลพบุรี,แม่น้ำเจ้าพระยา,ภาคกลาง,R
SPPT  ,อบต.นายาง,17.9097680,99.3096896,นายาง,สบปราบ,ลำปาง,แม่น้ำวัง,ภาคเหนือ,R
WTSG  ,ทต.วัดสิงห์,15.2583616,100.0449600,วัดสิงห์,วัดสิงห์,ชัยนาท,แม่น้ำท่าจีน,ภาคกลาง,R
TTKO  ,ทต.ท่าตะโก,15.6324896,100.4748416,ท่าตะโก,ท่าตะโก,นครสวรรค์,แม่น้ำเจ้าพระยา,ภาคเหนือ,R
LTYO  ,ศูนย์อปพร.อบต.ลาดยาว,15.7627856,99.7413440,ลาดยาว,ลาดยาว,นครสวรรค์,แม่น้ำเจ้าพระยา,ภาคเหนือ,R
NGSU  ,อบต.หนองบอนแดง,13.3502728,101.1571456,หนองบอนแดง,บ้านบึง,ชลบุรี,แม่น้ำบางปะกง,ภาคกลาง,R
SWNG  ,รพสต.บ่อวิน,13.0550664,101.0978432,บ่อวิน,ศรีราชา,ชลบุรี,ชายฝั่งทะเลตะวันออก,ภาคกลาง,R
NGCG  ,ทต.หนองฉาง,15.3889504,99.8450304,หนองฉาง,หนองฉาง,อุทัยธานี,แม่น้ำสะแกกรัง,ภาคเหนือ,R
UTOG  ,ทต.บ้านนา,12.8268288,101.6696384,บ้านนา,แกลง,ระยอง,ชายฝั่งทะเลตะวันออก,ภาคกลาง,R
PNRN  ,ทต.โป่งน้ำร้อน,12.9051512,102.2664832,โป่งน้ำร้อน,โป่งน้ำร้อน,จันทบุรี,โตนเลสาป,ภาคกลาง,R
